testing_model_structure,testing_model_type,testing_model_augmentation,testing_model_idx,D_attack_type,D_attack_direction,D_generating_model,D_idx,acc,loss
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v2,1,0.2037000060081482,3.954697370529175
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet56v1,1,0.0313999988138675,7.83579683303833
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet56v1,3,0.1039000004529953,5.455079078674316
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v1,7,0.0667999982833862,6.181675434112549
ResNet20v1,ff,cw,1,pgd,targeted_2nd,ResNet56v1,7,0.0186999998986721,8.16931438446045
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v1,1,0.1308999955654144,4.856703281402588
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet56v1,2,0.0588000006973743,6.208019733428955
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet56v1,2,0.1638000011444091,4.647641181945801
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v2,1,0.1457999944686889,4.281030654907227
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v2,0,0.0639000013470649,5.207965850830078
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet56v1,1,0.0939000025391578,6.227717876434326
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet56v2,0,0.0148999998345971,7.468230247497559
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v1,5,0.0671000033617019,5.44736385345459
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet56v1,0,0.0264999996870756,7.868190765380859
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v1,2,0.0872000008821487,5.0536274909973145
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v2,0,0.1428000032901764,4.389193534851074
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v1,6,0.1120000034570694,4.872687339782715
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v1,4,0.0226000007241964,6.863654136657715
ResNet20v1,ff,cw,1,cwl2,targeted_2nd,ResNet56v1,0,0.2126999944448471,4.035991191864014
ResNet20v1,ff,cw,1,cwl2,targeted_ll,ResNet56v1,0,0.6169999837875366,1.90982985496521
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v1,4,0.065600000321865,5.647429943084717
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet56v2,0,0.0403999984264373,6.307746887207031
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v1,3,0.0417999997735023,5.894084930419922
ResNet20v1,ff,cw,1,pgd,targeted_ll,ResNet20v1,7,0.0212999992072582,7.5471415519714355
ResNet20v1,ff,cw,1,cwl2,targeted_ll,ResNet56v1,1,0.6245999932289124,1.8406177759170528
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v1,0,0.1526000052690506,4.806728363037109
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet56v1,0,0.0172000005841255,8.734360694885254
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v1,3,0.1288000047206878,4.541378021240234
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet20v1,2,0.197500005364418,3.904676914215088
