TargetClass,PathIndex,PathNodes,Threshold,Accuracy
15,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
16,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
17,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
