model,dataset,accuracy
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.5505
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.5772
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.5493
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.5966
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.5469
resnet20v1_original_tuned-once-on_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6716
resnet20v1_original_tuned-once-on_original_ver1,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6633
resnet20v1_original_tuned-once-on_original_ver2,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6678
resnet20v1_original_tuned-once-on_original_ver3,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6627
resnet20v1_original_tuned-once-on_original_ver4,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6447
resnet20v1_original_tuned-once-on_original_ver5,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6558
resnet20v1_original_tuned-once-on_original_ver6,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6781
resnet20v1_original_tuned-once-on_original_ver7,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6511
resnet20v1_original_tuned-thrice-on_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6577
resnet20v1_original_tuned-twice-on_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6596
resnet20v1_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.4983
resnet20v1_original_ver1,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.538
resnet20v1_original_ver2,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.5364
resnet20v1_original_ver3,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.5264
resnet20v1_original_ver4,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.505
resnet20v1_original_ver5,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.5306
resnet20v1_original_ver6,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.545
resnet20v1_original_ver7,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.4976
resnet20v2_original_tuned-once-on_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6925
resnet20v2_original_tuned-once-on_original_ver1,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6907
resnet20v2_original_tuned-once-on_original_ver2,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.7064
resnet20v2_original_tuned-once-on_original_ver3,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6879
resnet20v2_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.4613
resnet20v2_original_ver1,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.485
resnet20v2_original_ver2,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.4849
resnet20v2_original_ver3,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.4632
resnet56v1_original_tuned-once-on_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.4859
resnet56v1_original_tuned-once-on_original_ver1,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6657
resnet56v1_original_tuned-once-on_original_ver2,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6513
resnet56v1_original_tuned-once-on_original_ver3,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6566
resnet56v1_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.2477
resnet56v1_original_ver1,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.49
resnet56v1_original_ver2,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.5093
resnet56v1_original_ver3,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.4989
resnet56v2_original_tuned-once-on_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.689
resnet56v2_original_tuned-once-on_original_ver1,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6857
resnet56v2_original_tuned-once-on_original_ver2,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6812
resnet56v2_original_tuned-once-on_original_ver3,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6745
resnet56v2_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.4243
resnet56v2_original_ver1,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.5088
resnet56v2_original_ver2,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.4139
resnet56v2_original_ver3,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.4637
vgg11_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6959
vgg13_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6612
vgg16_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6478
vgg19_original_ver0,fgm-eps216-targeted-to-least-by-resnet56v1-ver0_test,0.6543
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6093
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.606
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.624
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5991
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.9031
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8086
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8237
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8205
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8535
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8635
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8139
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8173
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8202
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8178
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.7623
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.7535
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.7933
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8038
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8191
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.8107
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5985
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5452
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5747
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.543
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5901
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.541
resnet20v1_original_tuned-once-on_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6648
resnet20v1_original_tuned-once-on_original_ver1,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6567
resnet20v1_original_tuned-once-on_original_ver2,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6607
resnet20v1_original_tuned-once-on_original_ver3,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6566
resnet20v1_original_tuned-once-on_original_ver4,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6369
resnet20v1_original_tuned-once-on_original_ver5,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6555
resnet20v1_original_tuned-once-on_original_ver6,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6726
resnet20v1_original_tuned-once-on_original_ver7,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6437
resnet20v1_original_tuned-thrice-on_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6519
resnet20v1_original_tuned-twice-on_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6574
resnet20v1_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4929
resnet20v1_original_ver1,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5333
resnet20v1_original_ver2,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5343
resnet20v1_original_ver3,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5202
resnet20v1_original_ver4,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5039
resnet20v1_original_ver5,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5258
resnet20v1_original_ver6,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5399
resnet20v1_original_ver7,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4949
resnet20v2_original_tuned-once-on_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6917
resnet20v2_original_tuned-once-on_original_ver1,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6835
resnet20v2_original_tuned-once-on_original_ver2,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.7007
resnet20v2_original_tuned-once-on_original_ver3,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6814
resnet20v2_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4586
resnet20v2_original_ver1,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4806
resnet20v2_original_ver2,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4839
resnet20v2_original_ver3,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4617
resnet56v1_original_tuned-once-on_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4811
resnet56v1_original_tuned-once-on_original_ver1,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6622
resnet56v1_original_tuned-once-on_original_ver2,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6473
resnet56v1_original_tuned-once-on_original_ver3,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6504
resnet56v1_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.2492
resnet56v1_original_ver1,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4869
resnet56v1_original_ver2,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5036
resnet56v1_original_ver3,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4957
resnet56v2_original_tuned-once-on_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6832
resnet56v2_original_tuned-once-on_original_ver1,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6805
resnet56v2_original_tuned-once-on_original_ver2,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6733
resnet56v2_original_tuned-once-on_original_ver3,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6706
resnet56v2_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4232
resnet56v2_original_ver1,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.5046
resnet56v2_original_ver2,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4114
resnet56v2_original_ver3,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.4599
vgg11_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6929
vgg13_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6596
vgg16_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6414
vgg19_original_ver0,fgm-eps216-untargeted-by-resnet56v1-ver0_test,0.6489
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,original_test,0.8526
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,original_test,0.8669
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,original_test,0.8093
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,original_test,0.8262
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,original_test,0.9011
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,original_test,0.8133
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,original_test,0.8189
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,original_test,0.815
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,original_test,0.8522
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,original_test,0.8674
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,original_test,0.8179
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,original_test,0.8349
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,original_test,0.8359
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,original_test,0.8409
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,original_test,0.7954
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,original_test,0.8033
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,original_test,0.7791
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,original_test,0.8019
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,original_test,0.8296
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,original_test,0.8353
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,original_test,0.8241
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,original_test,0.8463
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,original_test,0.8378
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,original_test,0.842
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,original_test,0.8417
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,original_test,0.8539
resnet20v1_original_tuned-once-on_original_ver0,original_test,0.9052
resnet20v1_original_tuned-once-on_original_ver1,original_test,0.907
resnet20v1_original_tuned-once-on_original_ver2,original_test,0.9093
resnet20v1_original_tuned-once-on_original_ver3,original_test,0.9027
resnet20v1_original_tuned-once-on_original_ver4,original_test,0.9041
resnet20v1_original_tuned-once-on_original_ver5,original_test,0.9004
resnet20v1_original_tuned-once-on_original_ver6,original_test,0.9041
resnet20v1_original_tuned-once-on_original_ver7,original_test,0.9059
resnet20v1_original_tuned-thrice-on_original_ver0,original_test,0.8968
resnet20v1_original_tuned-twice-on_original_ver0,original_test,0.8976
resnet20v1_original_ver0,original_test,0.8248
resnet20v1_original_ver1,original_test,0.852
resnet20v1_original_ver2,original_test,0.8533
resnet20v1_original_ver3,original_test,0.8592
resnet20v1_original_ver4,original_test,0.8485
resnet20v1_original_ver5,original_test,0.86
resnet20v1_original_ver6,original_test,0.8439
resnet20v1_original_ver7,original_test,0.8251
resnet20v2_original_tuned-once-on_original_ver0,original_test,0.9101
resnet20v2_original_tuned-once-on_original_ver1,original_test,0.9061
resnet20v2_original_tuned-once-on_original_ver2,original_test,0.9095
resnet20v2_original_tuned-once-on_original_ver3,original_test,0.9068
resnet20v2_original_ver0,original_test,0.8208
resnet20v2_original_ver1,original_test,0.8017
resnet20v2_original_ver2,original_test,0.8126
resnet20v2_original_ver3,original_test,0.8167
resnet56v1_original_tuned-once-on_original_ver0,original_test,0.9113
resnet56v1_original_tuned-once-on_original_ver1,original_test,0.9096
resnet56v1_original_tuned-once-on_original_ver2,original_test,0.9069
resnet56v1_original_tuned-once-on_original_ver3,original_test,0.9128
resnet56v1_original_ver0,original_test,0.8785
resnet56v1_original_ver1,original_test,0.8445
resnet56v1_original_ver2,original_test,0.8575
resnet56v1_original_ver3,original_test,0.8486
resnet56v2_original_tuned-once-on_original_ver0,original_test,0.9203
resnet56v2_original_tuned-once-on_original_ver1,original_test,0.9174
resnet56v2_original_tuned-once-on_original_ver2,original_test,0.9109
resnet56v2_original_tuned-once-on_original_ver3,original_test,0.9158
resnet56v2_original_ver0,original_test,0.8218
resnet56v2_original_ver1,original_test,0.8355
resnet56v2_original_ver2,original_test,0.8065
resnet56v2_original_ver3,original_test,0.8241
vgg11_original_ver0,original_test,0.7871
vgg13_original_ver0,original_test,0.8661
vgg16_original_ver0,original_test,0.8599
vgg19_original_ver0,original_test,0.8577
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5573
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5124
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6067
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5568
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.899
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.7991
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8159
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8098
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8489
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.862
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8111
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8173
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8206
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8223
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.7565
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.7501
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.7835
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.7946
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.8109
