logifold_type,entropy_threshold,simple_label,generator_family,Adv_using_history,average_voting_by_Judges,simple_majority_voting_by_Judges,simple_majority_voting_by_all,average_voting_by_all,Adv - judges_avg,Adv - All_avg,Adv - judges_majority,Adv - All_majority
FGM_targeted-to-least,147.8986078555462,cwl2,resnet,0.9309,0.9347,0.9336,0.934,0.9343,-0.0038000000000000256,-0.0034000000000000696,-0.0027000000000000357,-0.0031000000000001027
FGM_targeted-to-least,147.8986078555462,cwl2(2nd),resnet,0.9286,0.9349,0.9336,0.9341,0.9346,-0.006299999999999972,-0.006000000000000005,-0.0050000000000000044,-0.00550000000000006
FGM_targeted-to-least,147.8986078555462,cwl2(least),resnet,0.9285,0.9394,0.9385,0.9379,0.9384,-0.01090000000000002,-0.00990000000000002,-0.010000000000000009,-0.009399999999999964
FGM_untargeted,149.7547331019959,"pgd(2nd, big)",resnet,0.9143,0.5952,0.5967,0.8381,0.8422,0.31910000000000005,0.07210000000000005,0.3176,0.07620000000000005
FGM_untargeted,149.7547331019959,fgm,resnet,0.9144,0.7232,0.7213,0.8739,0.878,0.19120000000000004,0.03639999999999999,0.19309999999999994,0.04049999999999998
FGM_untargeted,149.7547331019959,fgm(2nd),resnet,0.9147,0.7264,0.7274,0.874,0.8799,0.1882999999999999,0.03479999999999994,0.1872999999999999,0.04069999999999996
FGM_untargeted,149.7547331019959,fgm(least),resnet,0.9147,0.7264,0.7274,0.874,0.8799,0.1882999999999999,0.03479999999999994,0.1872999999999999,0.04069999999999996
FGM_untargeted,149.7547331019959,pgd(big),resnet,0.91945,0.7713,0.772125,0.87355,0.875225,0.14815,0.04422499999999996,0.14732500000000004,0.04589999999999994
FGM_untargeted,149.7547331019959,"pgd(least, big)",resnet,0.915,0.7903249999999999,0.7889999999999999,0.896425,0.8992,0.12467500000000009,0.015800000000000036,0.1260000000000001,0.018575000000000008
FGM_untargeted,149.7547331019959,"pgd(least, big)",vgg,0.90505,0.78515,0.783525,0.87825,0.87965,0.1199,0.025399999999999978,0.121525,0.026800000000000046
FGM_untargeted,149.7547331019959,pgd(big),vgg,0.9166,0.8648750000000001,0.86455,0.894725,0.8961749999999999,0.05172499999999991,0.020425000000000026,0.05204999999999993,0.021874999999999978
FGM_untargeted,149.7547331019959,cwl2,resnet,0.9334,0.9347,0.9336,0.9335,0.934,-0.0012999999999999678,-0.0006000000000000449,-0.00019999999999997797,-9.999999999998899e-05
FGM_untargeted,149.7547331019959,"pgd(2nd, std)",resnet,0.9369,0.9388,0.9386,0.9379,0.9367,-0.0019000000000000128,0.00019999999999997797,-0.0017000000000000348,-0.0010000000000000009
FGM_untargeted,149.7547331019959,pgd(std),resnet,0.9372,0.9393,0.9388,0.9372,0.9364,-0.0020999999999999908,0.0008000000000000229,-0.0015999999999999348,0.0
FGM_untargeted,149.7547331019959,original,,0.9381,0.9408,0.94,0.9385,0.9388,-0.0026999999999999247,-0.0006999999999999229,-0.0018999999999999018,-0.00039999999999995595
FGM_untargeted,149.7547331019959,DF,resnet,0.8865,0.8893,0.8875,0.887,0.8873,-0.0028000000000000247,-0.0008000000000000229,-0.0010000000000000009,-0.000500000000000056
FGM_untargeted,149.7547331019959,"pgd(least, std)",resnet,0.9372,0.9401,0.939,0.9377,0.9376,-0.0029000000000000137,-0.00039999999999995595,-0.0017999999999999128,-0.0004999999999999449
FGM_untargeted,149.7547331019959,cwl2(2nd),resnet,0.9277,0.9349,0.9336,0.9337,0.9343,-0.007199999999999984,-0.00660000000000005,-0.005900000000000016,-0.006000000000000005
FGM_untargeted,149.7547331019959,cwl2(least),resnet,0.9295,0.9394,0.9385,0.9382,0.9385,-0.00990000000000002,-0.009000000000000008,-0.009000000000000008,-0.008700000000000041
PGD_VGG_targeted-to-least,143.21193691002415,"pgd(2nd, big)",resnet,0.8993,0.5952,0.5967,0.813,0.8165,0.30410000000000004,0.08279999999999998,0.3026,0.08630000000000004
PGD_VGG_targeted-to-least,143.21193691002415,fgm,resnet,0.8957,0.7232,0.7213,0.8516,0.8545,0.1725000000000001,0.041200000000000014,0.1744,0.04410000000000003
PGD_VGG_targeted-to-least,143.21193691002415,fgm(2nd),resnet,0.8984,0.7264,0.7274,0.8534,0.8556,0.17199999999999993,0.04279999999999995,0.17099999999999993,0.04499999999999993
PGD_VGG_targeted-to-least,143.21193691002415,fgm(least),resnet,0.8984,0.7264,0.7274,0.8534,0.8556,0.17199999999999993,0.04279999999999995,0.17099999999999993,0.04499999999999993
PGD_VGG_targeted-to-least,143.21193691002415,pgd(big),resnet,0.911375,0.7713,0.772125,0.8653,0.86675,0.14007500000000006,0.044625000000000026,0.1392500000000001,0.04607500000000009
PGD_VGG_targeted-to-least,143.21193691002415,"pgd(least, big)",vgg,0.91385,0.78515,0.783525,0.885775,0.888875,0.12870000000000004,0.02497500000000008,0.13032500000000002,0.028075000000000072
